b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,N,strat,strat_space,transition,eps,beta
1.8,0.6972133377502111,0.01047406239834975,0.8380520473944765,0.72147274662094,0.562316,128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.6655367400304427,0.011686132906147579,0.8138884835998957,0.6938358646068953,0.532892,128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.664593052483672,0.011239280142677329,0.8024894416927286,0.6929874370877462,0.537806,128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.7533487549553766,0.009381102833455671,0.8674072245088623,0.7755515765603468,0.6350979999999999,128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.7203433954010648,0.009974095815135331,0.8491394623716008,0.7449029264440471,0.608418,128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16843945304897764,0.042242221272584785,0.5087698622051818,0.2748459373391566,0.041836,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1684570654968959,0.040385435640449927,0.5096217156826389,0.27425512116413064,0.040010000000000004,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1713130570928741,0.038879962760683215,0.5106709420011988,0.2736126823882456,0.044022000000000006,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16709476791208275,0.040106261285172834,0.5062662636918989,0.2712790927441246,0.03804,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16282621298438674,0.04128747611453819,0.5063111997765866,0.2686550232843056,0.0419,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11620570285177875,0.10812718750116974,0.4186035629286724,0.3231478786879912,0.008604,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11550920589884185,0.10809317988556587,0.4161732161469508,0.3233416685264734,0.007986,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11580478186950816,0.10764800410146187,0.4189222893111285,0.32246466498173765,0.008846,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11608722566017275,0.1090874303348224,0.4179075783978776,0.324518654691549,0.008648000000000001,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1155963589898764,0.10905672372717867,0.4177683904861797,0.323983407028829,0.007936,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.2075132036098944,0.031780096927796014,0.5491628489441894,0.2921580183920356,0.086768,32,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.21319262682799947,0.03151054135366392,0.5484427001096911,0.2992983808030823,0.095524,32,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.20833691806213164,0.0312040400505782,0.5427092784782803,0.29269739094392017,0.085228,32,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1980915512600052,0.03190812545304017,0.5402341576566191,0.2843074534510435,0.078704,32,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.19975771003708706,0.032466165661205755,0.5457163708423256,0.2870653622460453,0.081344,32,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1272331412930992,0.07357927721701933,0.4483231733560351,0.2862964597397696,0.012681999999999999,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12664060543771524,0.07216900143207985,0.4488812140693301,0.2853576727746581,0.012694,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12694096749646286,0.07147311959559799,0.44959912166775184,0.2829883231648776,0.014066,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1299130238713634,0.07315922257923722,0.4528401726732878,0.2883372555309952,0.01379,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12660902688504946,0.07341646289538539,0.4496847910695673,0.2857235129853403,0.013130000000000001,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.3546996841324334,0.023046914275492148,0.6420832616830188,0.41558043504583897,0.231962,64,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.343339878829274,0.02247886553789308,0.632603918786078,0.4058468088952578,0.222818,64,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.3778076057173759,0.02097618571179714,0.6485827136122123,0.4342475361267442,0.24977800000000003,64,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.35767124209479945,0.02156153868484814,0.6510289516294466,0.4171883167234511,0.23994400000000002,64,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.3564973589733256,0.02210457466679051,0.649185193636779,0.4158901515254972,0.235894,64,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14517747878249074,0.05236052715723552,0.4820359154975141,0.27166478591198223,0.021584,8,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14680061947442094,0.05188149341601697,0.4776527790347523,0.2732019069927291,0.021786,8,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14799630142982995,0.050217253682647116,0.4833698548693993,0.27001008772031043,0.025036000000000003,8,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14802936468588512,0.05159585852260218,0.4836462458279636,0.27273034213525554,0.021438,8,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1435365390085076,0.052889818373786666,0.4838038258084336,0.27018541610574043,0.022844,8,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
