b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,beta,strat,strat_space,transition,N,eps
1.8,0.17971366090009847,0.2090440742178996,0.4196464630490116,0.4994943770865778,0.009534,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18055839102846347,0.1955868596031804,0.4314630652136696,0.4906990093117233,0.0065260000000000006,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.17582801557090194,0.2091503251463502,0.4132985868467921,0.4987243782293006,0.005454,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1816567946265932,0.203231244806176,0.4113452473451775,0.4959762673998161,0.006168,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1848857243403633,0.20226119019683333,0.4138011137511691,0.5021855739989871,0.007821999999999999,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18070395375112214,0.20602226717058345,0.4195877248817364,0.4975826360585302,0.009584,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1815968393905004,0.19021610906097386,0.4329930879304225,0.4861074883935346,0.0065260000000000006,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1760577135271565,0.20728833792815093,0.4147988101998724,0.4970639958458204,0.006214,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1811506556275688,0.200120110615558,0.4107168863613794,0.4929404966511615,0.006168,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18434209495457365,0.1990361840096605,0.4138249491866995,0.4982436078324249,0.007821999999999999,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18961867971087412,0.17679120206484294,0.4377738848153101,0.4747063261227879,0.015846000000000002,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18401924819810395,0.15724126919779668,0.4469162674120565,0.4541620376284654,0.01059,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18595788765024446,0.16596142388357066,0.4376875140938013,0.4642795944384393,0.00824,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1810928676833484,0.1618384592538104,0.4377875006901045,0.4532048145175615,0.008140000000000001,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18870196061826813,0.16241049647242706,0.4377754714256898,0.4612329579832197,0.01125,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.21681057927253947,0.058895181599820885,0.5186963279536962,0.3442455631697726,0.037489999999999996,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19132397570348875,0.05179136521765339,0.4952888170838429,0.3159061571811984,0.034462,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.21003585770990926,0.05329440574031636,0.525907815215084,0.3367658325049501,0.036978,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19082442387178689,0.057498887690963923,0.5028012089182399,0.3217890319927483,0.02451,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1841535465253279,0.05959405433463848,0.5024500967745072,0.32029726497206945,0.044212,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.32769466125376084,0.021110285460978376,0.623706595712366,0.3882026965295479,0.21954,1.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3631912293486912,0.02126373427390594,0.6399874652856451,0.42344303329659694,0.24677,1.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3448733150848951,0.02203212311057021,0.6211969448376009,0.4040926856209532,0.213396,1.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3197900086346332,0.023555201484942005,0.614592950873238,0.3852019167223851,0.185,1.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3343768563376913,0.022601507377139552,0.6288979433960447,0.3965028875264717,0.22468000000000002,1.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9225110601730592,0.006010484349988712,0.958131916074308,0.9328216962915128,0.8144060000000001,10.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8946861208313024,0.006898234969370729,0.9427440634177352,0.9073726484867248,0.774172,10.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8882450932554352,0.006877593722956119,0.938760537701514,0.9010393910302132,0.787136,10.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8889143029405353,0.006915295674024628,0.9391759214465356,0.9022895083653012,0.677034,10.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8930675515106196,0.006837379706053307,0.940589449271096,0.9059920482492848,0.8217899999999999,10.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.90522824767056,0.007911274057491527,0.9515153363807788,0.9196312682910996,0.8528020000000001,100.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9192986042551388,0.007369289594102689,0.9556673529113172,0.9322510759172172,0.8700700000000001,100.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8998238737976273,0.008110258356041206,0.9485086813155924,0.9145149209185152,0.8165520000000001,100.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8902083606521087,0.008301981936578159,0.9389505888346044,0.9061946224521168,0.800774,100.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9060827296543352,0.007928050488437827,0.9505906629481397,0.9205185336926788,0.8567239999999999,100.0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
